term,len,chisq,tf,keys,counts
attractive,1,13066651.8377,18784,24712,1546479
be attractive,2,2992278.64172,1216,5159,103410
arms,1,79025137.6468,21704,75455,7300360
broken arms,2,27072443.153,577,3608,43171
calm,1,14029020.8419,8307,22711,1249429
calm down,2,4238878.89861,2973,10660,339507
concept,1,13693346.99,7814,22593,931962
core concept,2,772556.83804,24,997,3676
onions,1,7353514.01818,5024,10223,234187
cutting onions,2,4164405.26486,137,1069,10411
faith,1,9467057.87269,4752,15264,497946
faith in,2,2328803.85147,1158,6867,136767
instructions,1,5578439.77388,3555,17193,607398
instructions unclear,2,4933423.20127,644,1499,11298
scale,1,4811082.72855,5355,18066,560086
for scale,2,9345078.68465,200,2252,13168
bastard,1,5042215.68151,7167,16634,467142
magnificent bastard,2,7140117.9645,155,1234,22364
stranger,1,12599466.665,11014,20595,1050874
kind stranger,2,10577783.1358,885,5037,76662
omlette,1,1053483.6652,37,513,1400
omlette du,2,1584475.77534,13,29,50
carpet,1,1759810.18292,2696,10780,268610
shag carpet,2,692134.662631,68,1008,4464
feel,1,88235555.8834,185343,84118,13775082
that feel,2,2707933.08455,3446,10155,311431
fedora,1,11118978.2933,2388,6888,89682
tips fedora,2,5610176.43187,400,1425,10872
boner,1,3328855.32957,3917,9071,188939
weirdest boner,2,6090285.88698,102,837,18386
record,1,29553315.7189,13431,28344,1282733
rice,1,47018012.8794,7792,30774,1573688
with rice,2,3439360.81274,1860,4167,49203
something,1,231234387.979,180978,103728,15767503
something something,2,1875646.38993,1965,5096,46857
bae,1,57188027.547,969,4216,29161
in the,2,192255031.913,412527,176750,34462209
was a,2,369693685.915,127066,121948,22051888
that the,2,56580221.8898,69724,86372,12532603
a lot of,3,33890105.5341,79090,64452,7723807
i want to,3,71897978.8407,33205,41735,3945952
a couple of,3,7516443.40458,13493,28805,1825802
my,1,428121427.78,1407373,244128,55661173
back,1,104171866.985,194002,116342,20229973
mad,1,127492428.333,13394,96413,12929976
dill,1,6604764.64047,316,8388,104170
mudkipz,1,5220957.62853,5,70,136
limitless,1,885307.470701,349,3078,24146
multicollinear,1,1888736.68404,4,203,582
broken,1,9545376.49862,12851,27531,1684397
down,1,295454801.992,145470,106888,16637638
cutting,1,38898246.0622,33357,59074,5434497
unclear,1,3306048.36872,1200,5591,77784
magnificent,1,3898265.19862,892,6190,87954
shag,1,4235034.34537,400,5494,50838
tips,1,76317047.0661,13827,43846,3165883
weirdest,1,192950053.961,1812,10213,235142
a lot,2,51507937.7925,125379,81351,11685605
want to,2,77379982.4678,158941,89069,14477650
a couple,2,16055975.8776,33420,44274,4305402
fart,1,12394780.5762,9589,17828,587116
box,1,54614312.5271,19722,40310,2442436
fart box,2,327749.854383,40,508,1451
minute,1,39950073.894,55789,55207,6227122
hour,1,29475880.2646,77960,63127,8069412
day,1,223805351.209,229129,136455,24371817
week,1,30116911.9799,70113,65473,9200303
month,1,24002266.3681,66329,57752,7743537
year,1,93623797.2676,271841,121800,22825188
some kisses,2,1168155.24757,138,768,4440
kisses,1,15085024.3941,12937,21512,1163473
assisted,1,4047846.79868,5111,18715,745046
suicide,1,11178346.4281,14045,23257,1520534
assisted suicide,2,501461.899958,227,2195,17371
fuck yeah,2,4943530.73487,1973,6363,69730
mile,1,29898015.694,14073,42151,3475672
high,1,63831558.5006,78939,84922,11291560
mile high,2,1083905.76936,172,1498,8203
like my women,3,947803.36156,839,1890,14775
hither,1,1425680.37915,66,2269,12874
come hither,2,564240.801475,35,789,2730
